--------------
Word Frequency
--------------
tina: 865
amy: 859
de: 822
los: 754
red: 549
fey: 547
carpet: 524
poehler: 495
looks: 495
en: 483
que: 482
redcarpet: 464
im: 444
la: 436
love: 392
: 366
like: 358
dress: 350
anne: 344
awards: 315
hathaway: 298
eredcarpet: 292
time: 290
tonight: 280
look: 268
2013: 267
vergara: 240
70th: 234
sofia: 233
: 228
jennifer: 228
: 223
el: 216
best: 206
watch: 201
james: 201
cameron: 201
go: 191
taylor: 190
annual: 188
globe: 186
3: 184
hair: 182
e: 181
live: 173
getglue: 173
se: 172
swift: 166
looking: 166
jessica: 164
good: 164
amazing: 160
get: 157
wearing: 156
show: 156
one: 154
see: 146
beautiful: 145
washington: 144
kate: 144
adele: 143
oh: 142
happy: 141
robert: 139
gorgeous: 136
others: 135
por: 132
es: 131
lawrence: 129
checkedin: 128
para: 126
hudson: 125
dont: 124
years: 123
stunning: 122
hot: 122
great: 115
con: 114
denzel: 110
: 108
: 108
ver: 104
people: 104
un: 103
think: 103
right: 103
kerry: 103
going: 103
really: 101
mel: 96
girls: 95
gibson: 95
tv: 94
much: 94
bill: 93
fashion: 92
always: 92
inside: 91
already: 91
lo: 90
know: 90
: 89
joke: 89
lady: 86
couture: 86
cant: 86
ya: 85
hosting: 85
: 84
viendo: 84
married: 84
lol: 84
killing: 84
dressed: 84
httptcoSQXo0WPE: 83
gown: 83
nbc: 82
game: 81
start: 80
omg: 80
downey: 80
want: 78
ready: 78
jlo: 78
chastain: 78
8: 78
wow: 76
dicaprio: 76
torture: 75
rob: 75
ms: 75
las: 75
award: 75
2: 75
still: 73
night: 73
far: 73
esta: 73
could: 73
comes: 73
ben: 73
vestido: 72
black: 72
alfombra: 72
jr: 71
first: 71
al: 71
yes: 70
trust: 70
orlando: 70
murray: 70
le: 70
excited: 69
ever: 69
dresses: 69
better: 69
drinking: 68
roja: 67
win: 66
white: 66
mi: 66
two: 65
twitter: 65
selena: 65
salma: 65
loving: 65
ewan: 65
D: 65
take: 64
nicole: 64
tweeting: 63
us: 62
follow: 62
alfombrarojae: 62
: 61
well: 61
shes: 61
pretty: 61
leonardo: 61
george: 61
como: 61
let: 60
clooney: 60
would: 59
son: 59
chanel: 59
wait: 58
thats: 58
movie: 58
mcgregor: 58
lets: 58
everyone: 58
color: 58
affleck: 58
tweets: 57
tnt: 57
su: 57
funny: 57
pattinson: 56
mejor: 56
helen: 56
got: 56
miranda: 55
favorite: 55
doesnt: 55
yo: 54
u: 54
please: 54
hope: 54
hollywood: 54
getting: 54
del: 54
daughter: 54
ser: 53
say: 53
lopez: 53
back: 53
70: 53
: 52
miu: 52
make: 52
leo: 52
check: 52
year: 51
una: 51
need: 51
lucy: 51
kidman: 51
hayek: 51
come: 51
bloom: 51
youre: 50
starting: 50
next: 50
jay: 50
: 49
film: 49
da: 49
begin: 49
woman: 48
si: 48
made: 48
kerr: 48
gonna: 48
entrega: 48
les: 47
lea: 47
hugh: 47
feys: 47
spent: 46
shows: 46
richard: 46
minutes: 46
every: 46
cuando: 46
women: 45
tweet: 45
thing: 45
since: 45
new: 45
leno: 45
host: 45
awesome: 45
wife: 44
vanessa: 44
three: 44
retweet: 44
quien: 44
pic: 44
perfect: 44
never: 44
mirren: 44
julianne: 44
jackman: 44
hosts: 44
even: 44
est: 44
bigelow: 44
wear: 43
way: 43
sexy: 43
makeup: 43
gere: 43
anyone: 43
tinafey: 42
sitting: 42
waiting: 41
w: 41
starts: 41
someone: 41
girl: 41
baked: 41
toast: 40
sofa: 40
ive: 40
dior: 40
beans: 40
winner: 39
table: 39
ok: 39
hermosa: 39
gomez: 39
another: 39
wins: 38
went: 38
todo: 38
tiene: 38
marion: 38
ill: 38
god: 38
shit: 37
remember: 37
qu: 37
noche: 37
many: 37
hilarious: 37
care: 37
along: 37
updates: 36
pero: 36
party: 36
mas: 36
marilyn: 36
mais: 36
id: 36
cooper: 36
shot: 35
monroe: 35
man: 35
httptcop3wnBKSr: 35
halle: 35
ha: 35
fuck: 35
ahora: 35
1960: 35
saw: 34
nominated: 34
muy: 34
hudgens: 34
hay: 34
globosdeoro: 34
flawless: 34
couple: 34
bitchie: 34
alba: 34
wish: 33
te: 33
something: 33
photo: 33
oscars: 33
os: 33
no: 33
kathryn: 33
face: 33
bradley: 33
baby: 33
arrived: 33
amypoehler: 33
: 32
thought: 32
thanks: 32
seeing: 32
makes: 32
luck: 32
liu: 32
jon: 32
exclusive: 32
cotillard: 32
big: 32
world: 31
tom: 31
today: 31
sure: 31
season: 31
seacrest: 31
old: 31
moment: 31
matt: 31
ladies: 31
httptcozYuCYyAp: 31
fucking: 31
feel: 31
damn: 31
berry: 31
amanda: 31
ah: 31
13: 31
yay: 30
whats: 30
real: 30
keep: 30
hey: 30
fun: 30
everything: 30
emily: 30
anual: 30
: 29
together: 29
talking: 29
style: 29
sooo: 29
seen: 29
nice: 29
httptcocGxHYv7Q: 29
holy: 29
give: 29
com: 29
bienvenidos: 29
absolutely: 29
528: 29
: 28
work: 28
va: 28
theres: 28
stars: 28
sienna: 28
moore: 28
mcqueen: 28
kristen: 28
haute: 28
hathaways: 28
hard: 28
fan: 28
awkward: 28
watts: 27
stood: 27
started: 27
seyfried: 27
seriously: 27
roker: 27
premios: 27
okay: 27
miss: 27
mis: 27
maybe: 27
little: 27
hoy: 27
home: 27
hell: 27
hace: 27
else: 27
coverage: 27
announcements: 27
: 26
titans: 26
poehlers: 26
omginsider: 26
needs: 26
must: 26
lovely: 26
looked: 26
day: 26
bon: 26
bad: 26
: 25
tinas: 25
nw: 25
negro: 25
naomi: 25
miller: 25
late: 25
lace: 25
jovi: 25
guys: 25
guy: 25
goldenglobes2013: 25
football: 25
didnt: 25
dating: 25
comeou: 25
camera: 25
boobs: 25
blanco: 25
actually: 25
whos: 24
television: 24
super: 24
stage: 24
ryan: 24
perfection: 24
loved: 24
gold: 24
fox: 24
eu: 24
dustin: 24
done: 24
coming: 24
cam: 24
ao: 24
ask: 24
also: 24
5: 24
viggle: 23
stop: 23
smell: 23
puede: 23
playoffs: 23
oro: 23
meryl: 23
megan: 23
jodie: 23
isnt: 23
hate: 23
globo: 23
ford: 23
door: 23
beard: 23
wtf: 22
veo: 22
top: 22
todos: 22
though: 22
says: 22
q: 22
oscar: 22
opening: 22
na: 22
jokes: 22
glam: 22
fabulous: 22
este: 22
downton: 22
canal: 22
bring: 22
blue: 22
behind: 22
as: 22
arrives: 22
arrival: 22
adams: 22
1: 22
: 21
zinger: 21
yet: 21
via: 21
tune: 21
tan: 21
talk: 21
siempre: 21
prince: 21
pills: 21
photos: 21
movies: 21
literally: 21
latina: 21
kelly: 21
julianna: 21
green: 21
goes: 21
foster: 21
fab: 21
danes: 21
dan: 21
close: 21
claire: 21
blunt: 21
almost: 21
alguien: 21
actor: 21
10: 21
zooey: 20
zing: 20
wanna: 20
vez: 20
um: 20
reason: 20
rachel: 20
missing: 20
linda: 20
life: 20
haha: 20
guess: 20
em: 20
django: 20
dinner: 20
di: 20
dark: 20
cute: 20
arrive: 20
amo: 20
alone: 20
actress: 20
: 19
winners: 19
wine: 19
weekend: 19
trying: 19
try: 19
tiny: 19
theyre: 19
parksandrec: 19
nude: 19
murrays: 19
michelle: 19
mermaid: 19
lauer: 19
kill: 19
kevin: 19
interesan: 19
hoffman: 19
high: 19
gente: 19
finally: 19
fantastic: 19
estoy: 19
ese: 19
drama: 19
deschanel: 19
daniel: 19
ceremony: 19
ceremonia: 19
break: 19
bien: 19
alexander: 19
ahhh: 19
227: 19
yeah: 18
vou: 18
vestidos: 18
things: 18
tarantino: 18
star: 18
skyfall: 18
showtime: 18
sally: 18
said: 18
outfits: 18
missed: 18
manicure: 18
mani: 18
longoria: 18
lindo: 18
hes: 18
handsome: 18
gervais: 18
gala: 18
forget: 18
eva: 18
dos: 18
dockery: 18
comedy: 18
celebrities: 18
burn: 18
blog: 18
arrivals: 18
weisz: 17
washingtons: 17
warm: 17
voy: 17
vintage: 17
vai: 17
ugh: 17
tux: 17
strip: 17
sorry: 17
redcarpetman: 17
rdj: 17
pessoas: 17
person: 17
parece: 17
obsessed: 17
naked: 17
mujer: 17
mucho: 17
michele: 17
lot: 17
instead: 17
incredible: 17
httptco68nUs1kL: 17
gowns: 17
giuliana: 17
flu: 17
facial: 17
date: 17
brought: 17
bit: 17
bella: 17
ass: 17
ao: 17
antes: 17
9157: 17
vivo: 16
usual: 16
t: 16
totally: 16
tell: 16
ta: 16
sweet: 16
sus: 16
rub: 16
pohler: 16
pats: 16
open: 16
nothing: 16
misma: 16
may: 16
making: 16
lincoln: 16
lena: 16
leg: 16
job: 16
httptco2oiEY2Zi: 16
hi: 16
hello: 16
head: 16
glenn: 16
glad: 16
forward: 16
films: 16
family: 16
fact: 16
espectacular: 16
empezaron: 16
duo: 16
cut: 16
craig: 16
cleavage: 16
choice: 16
benedict: 16
around: 16
amys: 16
actriz: 16
zero: 15
wrong: 15
whatever: 15
vamos: 15
sophia: 15
simptica: 15
silver: 15
shoulders: 15
sarah: 15
put: 15
picture: 15
park: 15
news: 15
mundo: 15
margulies: 15
long: 15
jamescameron: 15
interesting: 15
hours: 15
heres: 15
hearing: 15
gracias: 15
gets: 15
find: 15
enough: 15
course: 15
chastains: 15
boring: 15
body: 15
away: 15
anything: 15
acting: 15
: 14
: 14
worst: 14
viene: 14
vergaras: 14
ven: 14
uma: 14
tomorrow: 14
toda: 14
thirty: 14
tena: 14
s: 14
streep: 14
straight: 14
saying: 14
ricky: 14
rancic: 14
rabbit: 14
play: 14
pissed: 14
pics: 14
parks: 14
pants: 14
online: 14
nominee: 14
men: 14
melhor: 14
mean: 14
loves: 14
livetweeting: 14
huge: 14
httptcoegoAPqLw: 14
house: 14
hit: 14
heart: 14
gusta: 14
globos: 14
food: 14
eyes: 14
everybody: 14
estas: 14
empiezan: 14
drunk: 14
die: 14
dear: 14
cumberbatch: 14
commercials: 14
channel: 14
champagne: 14
bed: 14
assistindo: 14
alright: 14
actors: 14
2012: 14
: 13
: 13
wont: 13
wonder: 13
vida: 13
tu: 13
thank: 13
solo: 13
sin: 13
seems: 13
scandal: 13
rocking: 13
pregnant: 13
post: 13
nada: 13
minute: 13
luce: 13
lord: 13
lmao: 13
laura: 13
judging: 13
jesus: 13
ir: 13
interviewed: 13
instagram: 13
igual: 13
httptcoXazIyd7W: 13
hfpa: 13
hayden: 13
half: 13
gotta: 13
gorg: 13
foto: 13
fine: 13
feed: 13
et: 13
estn: 13
drink: 13
divierte: 13
dios: 13
designed: 13
denzels: 13
classy: 13
calvin: 13
c: 13
bestdressed: 13
bell: 13
angelina: 13
ai: 13
agora: 13
4: 13
: 12
words: 12
whoa: 12
unos: 12
trend: 12
tonights: 12
times: 12
sunday: 12
stream: 12
stacey: 12
special: 12
sparkly: 12
sobre: 12
skin: 12
sex: 12
school: 12
saab: 12
room: 12
rewards: 12
quero: 12
probably: 12
per: 12
patriots: 12
part: 12
none: 12
mesmo: 12
mcphee: 12
manages: 12
link: 12
lawrences: 12
klein: 12
kinda: 12
kind: 12
join: 12
jewelry: 12
j: 12
hudsons: 12
hear: 12
han: 12
forgot: 12
field: 12
fans: 12
evening: 12
esas: 12
enjoy: 12
encanta: 12
eating: 12
dying: 12
dunham: 12
dicen: 12
diamonds: 12
definitivamente: 12
commercial: 12
cara: 12
cada: 12
button: 12
bottle: 12
boom: 12
bar: 12
awful: 12
assistir: 12
aqu: 12
apparently: 12
360: 12
wonderful: 11
woah: 11
winning: 11
whole: 11
vestida: 11
van: 11
upon: 11
uncomfortable: 11
turn: 11
tho: 11
thinking: 11
sndrome: 11
stacy: 11
song: 11
sit: 11
side: 11
segue: 11
second: 11
sad: 11
s01e70: 11
rosie: 11
rack: 11
quiero: 11
queen: 11
pulling: 11
premio: 11
practically: 11
porque: 11
poco: 11
ouro: 11
ouch: 11
osbourne: 11
nos: 11
name: 11
mom: 11
minutos: 11
menos: 11
manicam: 11
llega: 11
linney: 11
last: 11
jenn: 11
jajajaja: 11
huntingtonwhiteley: 11
hough: 11
hora: 11
honey: 11
hollywoods: 11
hands: 11
hamm: 11
gg: 11
front: 11
franco: 11
fav: 11
famous: 11
estos: 11
estamos: 11
esa: 11
er: 11
entire: 11
end: 11
elie: 11
elegante: 11
eddie: 11
earrings: 11
desde: 11
crying: 11
comunin: 11
cold: 11
christian: 11
caprio: 11
bueno: 11
boy: 11
bigfollow: 11
benjamn: 11
barbara: 11
aos: 11
arent: 11
appearance: 11
anymore: 11
aint: 11
33: 11
12: 11
: 10
: 10
zuhair: 10
zac: 10
xd: 10
wiig: 10
walking: 10
visti: 10
video: 10
venir: 10
vendo: 10
universe: 10
tuxedo: 10
todas: 10
tim: 10
tem: 10
team: 10
suits: 10
stay: 10
soy: 10
showing: 10
short: 10
shadow: 10
set: 10
sabe: 10
rooting: 10
robertpattinson: 10
recreation: 10
ratfaced: 10
quin: 10
private: 10
poor: 10
nominees: 10
ni: 10
n: 10
murad: 10
moda: 10
minimalista: 10
mejores: 10
machado: 10
lots: 10
lius: 10
lado: 10
j: 10
jen: 10
jack: 10
httptcooJne2jQ2: 10
httptcoNc3zv3PI: 10
hottest: 10
helena: 10
havent: 10
happening: 10
hahaha: 10
goddess: 10
gane: 10
fingers: 10
fb: 10
falta: 10
fall: 10
fail: 10
estar: 10
donde: 10
deslumbrante: 10
designer: 10
dead: 10
custom: 10
crossed: 10
crazy: 10
countdown: 10
count: 10
control: 10
class: 10
cast: 10
casi: 10
called: 10
cadavezmasjoven: 10
bye: 10
brings: 10
blah: 10
bigfollownet: 10
atentamente: 10
atelier: 10
amor: 10
alicia: 10
algo: 10
air: 10
actresses: 10
accent: 10
20: 10
: 9
: 9
worth: 9
without: 9
weird: 9
visto: 9
vi: 9
ur: 9
tuned: 9
tits: 9
tight: 9
thoughts: 9
tengo: 9
tambin: 9
takes: 9
sounds: 9
soon: 9
sofiavergara: 9
snap: 9
shouldve: 9
ser: 9
sempre: 9
rumors: 9
roll: 9
rock: 9
pregnancy: 9
pra: 9
posen: 9
police: 9
plans: 9
place: 9
paying: 9
panettiere: 9
p: 9
orange: 9
olivia: 9
mr: 9
mother: 9
might: 9
mal: 9
loreal: 9
livestream: 9
listen: 9
list: 9
linings: 9
line: 9
later: 9
kills: 9
kiebler: 9
keibler: 9
jenniferlawrence: 9
jajaja: 9
interviews: 9
httptcoukGOQqBv: 9
httptcorRci7Igh: 9
httptcoZtkvLGTG: 9
httptcoCefjRU0R: 9
httptco4LoRmhAx: 9
hoping: 9
homeland: 9
hoje: 9
guapo: 9
glamour: 9
gg2013: 9
garner: 9
ganhe: 9
games: 9
g: 9
